,title,cast,director,keywords,genres
454,The Day the Earth Stood Still,"['Keanu Reeves', 'Jennifer Connelly', 'Kathy Bates']",Scott Derrickson,"['extraterrestrial technology', 'spacecraft', 'ultimatum']","['Drama', 'Science Fiction', 'Thriller']"
455,Conspiracy Theory,"['Mel Gibson', 'Julia Roberts', 'Patrick Stewart']",Richard Donner,"['new york', 'cia', 'helicopter']","['Action', 'Drama', 'Mystery']"
456,Fury,"['Brad Pitt', 'Shia LaBeouf', 'Logan Lerman']",David Ayer,"['world war ii', 'nazis', 'war']","['War', 'Drama', 'Action']"
457,Six Days Seven Nights,"['Harrison Ford', 'Anne Heche', 'David Schwimmer']",Ivan Reitman,"['overleven', 'family guy']","['Action', 'Adventure', 'Comedy']"
458,Yogi Bear,"['Dan Aykroyd', 'Justin Timberlake', 'Anna Faris']",Eric Brevig,"['picnic', 'sandwich', 'bear']","['Comedy', 'Family', 'Animation']"
459,Spirit: Stallion of the Cimarron,"['Matt Damon', 'James Cromwell', 'Daniel Studi']",Kelly Asbury,"['human being', 'freedom', 'mustang']","['Western', 'Animation', 'Adventure']"
460,Zookeeper,"['Kevin James', 'Rosario Dawson', 'Sylvester Stallone']",Frank Coraci,"['talking animal', 'scientist', 'german accent']","['Comedy', 'Romance', 'Family']"
461,Lost in Space,"['Gary Oldman', 'William Hurt', 'Matt LeBlanc']",Stephen Hopkins,"['time travel', 'sabotage', 'deep space explorer']","['Adventure', 'Family', 'Science Fiction']"
462,The Manchurian Candidate,"['Denzel Washington', 'Meryl Streep', 'Liev Schreiber']",Jonathan Demme,"['senator', 'gulf war', 'canoe']","['Drama', 'Thriller', 'Mystery']"
463,Déjà Vu,"['Stephen Dillane', 'Victoria Foyt', 'Vanessa Redgrave']",Henry Jaglom,"['love', 'american', 'pin']","['Romance', 'Drama']"
464,Hotel Transylvania 2,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']",Genndy Tartakovsky,"['transylvania', 'hotel', 'witch']","['Animation', 'Comedy', 'Family']"
465,Fantasia 2000,"['Steve Martin', 'Itzhak Perlman', 'Quincy Jones']",James Algar,"['orchestra', 'musical segments']","['Animation', 'Family', 'Music']"
466,The Time Machine,"['Guy Pearce', 'Mark Addy', 'Phyllida Law']",Simon Wells,"['future', 'time machine']","['Science Fiction', 'Adventure', 'Action']"
467,Mighty Joe Young,"['Charlize Theron', 'Rade Serbedzija', 'Bill Paxton']",Ron Underwood,"['gorilla', 'dying and death']","['Action', 'Adventure', 'Family']"
468,Swordfish,"['John Travolta', 'Hugh Jackman', 'Halle Berry']",Dominic Sena,"['female nudity', 'hacker', 'terrorism']","['Action', 'Crime', 'Thriller']"
469,The Legend of Zorro,"['Antonio Banderas', 'Catherine Zeta-Jones', 'Adrián Alonso Barona']",Martin Campbell,"['california', 'spy', 'father son relationship']","['Action', 'Adventure']"
470,What Dreams May Come,"['Robin Williams', 'Cuba Gooding Jr.', 'Annabella Sciorra']",Vincent Ward,"['paradise', 'soul', 'underworld']","['Drama', 'Fantasy', 'Romance']"
471,Little Nicky,"['Adam Sandler', 'Patricia Arquette', 'Harvey Keitel']",Steven Brill,"['father son relationship', 'brother sister relationship', 'mephisto']","['Comedy', 'Fantasy', 'Romance']"
472,The Brothers Grimm,"['Heath Ledger', 'Matt Damon', 'Mackenzie Crook']",Terry Gilliam,"['brother brother relationship', 'literature', 'aftercreditsstinger']","['Adventure', 'Fantasy', 'Action']"
473,Mars Attacks!,"['Jack Nicholson', 'Glenn Close', 'Annette Bening']",Tim Burton,"['saving the world', 'total destruction', 'white house']","['Comedy', 'Fantasy', 'Science Fiction']"
474,Evolution,"['Max Brebant', 'Roxane Duran', 'Julie-Marie Parmentier']",Lucile Hadzihalilovic,"['nurse', 'sea', 'beach']","['Mystery', 'Drama', 'Horror']"
475,The Edge,"['Alec Baldwin', 'Anthony Hopkins', 'Elle Macpherson']",Lee Tamahori,"['photographer', 'grizzly bear', 'wilderness']","['Action', 'Adventure', 'Drama']"
476,Surrogates,"['Bruce Willis', 'Radha Mitchell', 'Rosamund Pike']",Jonathan Mostow,"['clone', 'dystopia']","['Action', 'Science Fiction', 'Thriller']"
477,Thirteen Days,"['Kevin Costner', 'Bruce Greenwood', 'Steven Culp']",Roger Donaldson,"['usa president', 'atomic bomb', 'john f. kennedy']","['Drama', 'Thriller']"
478,Daylight,"['Sylvester Stallone', 'Amy Brenneman', 'Viggo Mortensen']",Rob Cohen,"['taxi', 'new jersey', 'helicopter']","['Action', 'Adventure', 'Thriller']"
479,Walking With Dinosaurs,"['Charlie Rowe', 'Justin Long', 'Karl Urban']",Barry Cook,"['dinosaur', '3d']","['Animation', 'Family', 'Adventure']"
480,Battlefield Earth,"['John Travolta', 'Barry Pepper', 'Forest Whitaker']",Roger Christian,"['based on novel', 'post-apocalyptic', 'dystopia']","['Action', 'Science Fiction', 'War']"
481,Looney Tunes: Back in Action,"['Brendan Fraser', 'Jenna Elfman', 'Steve Martin']",Joe Dante,"['spy', 'duck', 'bunny']","['Animation', 'Comedy', 'Family']"
482,Nine,"['Judi Dench', 'Daniel Day-Lewis', 'Marion Cotillard']",Rob Marshall,"['memory', 'sidewalk cafe', 'room key']","['Drama', 'Music', 'Romance']"
483,Timeline,"['Paul Walker', ""Frances O'Connor"", 'Gerard Butler']",Richard Donner,"['professor', 'time travel', 'quantum mechanics']","['Action', 'Adventure', 'Science Fiction']"
484,The Postman,"['Kevin Costner', 'Will Patton', 'Olivia Williams']",Kevin Costner,"['usa', 'post', 'postman']","['Drama', 'Adventure']"
485,Babe: Pig in the City,"['James Cromwell', 'Mary Stein', 'Mickey Rooney']",George Miller,"['piggy bank', 'shortage of money', 'pig']","['Adventure', 'Comedy', 'Drama']"
486,The Last Witch Hunter,"['Vin Diesel', 'Rose Leslie', 'Elijah Wood']",Breck Eisner,"['new york', 'witch', 'uprising']","['Fantasy', 'Action', 'Adventure']"
487,Red Planet,"['Val Kilmer', 'Carrie-Anne Moss', 'Benjamin Bratt']",Antony Hoffman,"['mars', 'future', 'astronaut']","['Thriller', 'Action', 'Science Fiction']"
488,Arthur and the Invisibles,"['Freddie Highmore', 'Mia Farrow', 'Ron Crawford']",Luc Besson,"['grandfather grandson relationship', 'wretch', 'treasure hunt']","['Adventure', 'Fantasy', 'Animation']"
489,Oceans,"['Pierce Brosnan', 'Jacques Perrin', 'Rie Miyazawa']",Jacques Perrin,"['ocean', 'sea', 'fish']","['Documentary', 'Family']"
490,A Sound of Thunder,"['Heike Makatsch', 'Armin Rohde', 'David Oyelowo']",Peter Hyams,"['dying and death', 'time travel', 'romance']","['Thriller', 'Science Fiction', 'Adventure']"
491,Pompeii,"['Kit Harington', 'Carrie-Anne Moss', 'Emily Browning']",Paul W.S. Anderson,"['gladiator', 'arena', 'gladiator fight']","['Action', 'Adventure', 'History']"
492,Top Cat Begins,"['Jason Harris', 'David Hoffman', 'Bill Lobley']",Andrés Couturier,['3d'],"['Comedy', 'Animation']"
493,A Beautiful Mind,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",Ron Howard,"['individual', 'schizophrenia', 'massachusetts']","['Drama', 'Romance']"
494,The Lion King,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones']",Roger Allers,"['loss of parents', 'wild boar', 'uncle']","['Family', 'Animation', 'Drama']"
495,Journey 2: The Mysterious Island,"['Dwayne Johnson', 'Josh Hutcherson', 'Kristin Davis']",Brad Peyton,"['mission', 'mysterious island', 'missing person']","['Adventure', 'Action', 'Science Fiction']"
496,Cloudy with a Chance of Meatballs 2,"['Bill Hader', 'Anna Faris', 'James Caan']",Cody Cameron,"['inventor', 'food', 'scientist']","['Animation', 'Family', 'Comedy']"
497,Red Dragon,"['Anthony Hopkins', 'Edward Norton', 'Ralph Fiennes']",Brett Ratner,"['psychopath', 'serial killer', 'fbi agent']","['Crime', 'Thriller', 'Horror']"
498,Hidalgo,"['Viggo Mortensen', 'Zuleikha Robinson', 'Omar Sharif']",Joe Johnston,"['horse race', 'horse', 'racehorse']","['Western', 'Adventure']"
499,Jack and Jill,"['Adam Sandler', 'Katie Holmes', 'Al Pacino']",Dennis Dugan,['duringcreditsstinger'],['Comedy']
500,2 Fast 2 Furious,"['Paul Walker', 'Tyrese Gibson', 'Eva Mendes']",John Singleton,"['miami', 'car race', 'sports car']","['Action', 'Crime', 'Thriller']"
501,The Little Prince,"['Jeff Bridges', 'Rachel McAdams', 'Paul Rudd']",Mark Osborne,"['philosophy', 'utopia', 'airplane']","['Adventure', 'Animation', 'Fantasy']"
502,The Invasion,"['Nicole Kidman', 'Daniel Craig', 'Jeremy Northam']",Oliver Hirschbiegel,"['remake', 'alien', 'escape']","['Science Fiction', 'Thriller']"
503,The Adventures of Rocky & Bullwinkle,"['Rene Russo', 'Jason Alexander', 'Piper Perabo']",Des McAnuff,"['adventure', 'cartoon', 'comedy']","['Action', 'Adventure', 'Animation']"
504,The Secret Life of Pets,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart']",Chris Renaud,"['pet', 'bunny', 'anthropomorphism']","['Animation', 'Family']"
505,The League of Extraordinary Gentlemen,"['Sean Connery', 'Peta Wilson', 'Shane West']",Stephen Norrington,"['saving the world', 'vampire', 'bite']","['Fantasy', 'Action', 'Thriller']"
506,Despicable Me 2,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']",Pierre Coffin,"['secret agent', 'bakery', 'falling in love']","['Animation', 'Comedy', 'Family']"
507,Independence Day,"['Will Smith', 'Bill Pullman', 'Jeff Goldblum']",Roland Emmerich,"['spacecraft', 'patriotism', 'countdown']","['Action', 'Adventure', 'Science Fiction']"
508,The Lost World: Jurassic Park,"['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite']",Steven Spielberg,"['exotic island', 'dna', 'paleontology']","['Adventure', 'Action', 'Science Fiction']"
509,Madagascar,"['Ben Stiller', 'Chris Rock', 'David Schwimmer']",Eric Darnell,"['lion', 'hippopotamus', 'giraffe']","['Family', 'Animation']"
510,Children of Men,"['Clive Owen', 'Michael Caine', 'Julianne Moore']",Alfonso Cuarón,"['police state', 'hippie', 'rebel']","['Drama', 'Action', 'Thriller']"
511,X-Men,"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen']",Bryan Singer,"['mutant', 'marvel comic', 'superhero']","['Adventure', 'Action', 'Science Fiction']"
512,Wanted,"['Angelina Jolie', 'James McAvoy', 'Morgan Freeman']",Timur Bekmambetov,"['assassin', 'loss of father', 'secret society']","['Action', 'Thriller', 'Crime']"
513,The Rock,"['Sean Connery', 'Nicolas Cage', 'Ed Harris']",Michael Bay,"['san francisco', 'fbi', 'gas attack']","['Action', 'Adventure', 'Thriller']"
514,Ice Age: The Meltdown,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",Carlos Saldanha,"['mammoth', 'sloth', 'ice age']","['Animation', 'Family', 'Comedy']"
515,50 First Dates,"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider']",Peter Segal,"['deja vu', 'amnesia', 'hawaii']","['Comedy', 'Romance']"
516,Hairspray,"['John Travolta', 'Michelle Pfeiffer', 'Christopher Walken']",Adam Shankman,"['races', 'dream', 'dance']","['Family', 'Comedy', 'Music']"
517,Exorcist: The Beginning,"['Stellan Skarsgård', 'Izabella Scorupco', ""James D'Arcy""]",Renny Harlin,"['secret', 'obsession', 'exorcism']","['Horror', 'Mystery', 'Thriller']"
518,Inspector Gadget,"['Matthew Broderick', 'Rupert Everett', 'Joely Fisher']",David Kellogg,['gadget'],"['Action', 'Adventure', 'Comedy']"
519,Now You See Me,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",Louis Leterrier,"['paris', 'bank', 'secret']","['Thriller', 'Crime']"
520,Grown Ups,"['Adam Sandler', 'Salma Hayek', 'Maria Bello']",Dennis Dugan,"['overweight', 'swing', 'foot']",['Comedy']
521,The Terminal,"['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci']",Steven Spielberg,"['new york', 'airport', 'marriage proposal']","['Comedy', 'Drama']"
522,Hotel for Dogs,"['Emma Roberts', 'Jake T. Austin', 'Don Cheadle']",Thor Freudenthal,"['adoption', 'puppy', 'pitbull']","['Comedy', 'Family']"
523,Vertical Limit,"[""Chris O'Donnell"", 'Robin Tunney', 'Bill Paxton']",Martin Campbell,"['himalaya', 'pakistan', 'climbing']","['Action', 'Adventure', 'Thriller']"
524,Charlie Wilson's War,"['Tom Hanks', 'Philip Seymour Hoffman', 'Julia Roberts']",Mike Nichols,"['washington d.c.', 'alcohol', 'cia']","['Comedy', 'Drama', 'History']"
525,Shark Tale,"['Will Smith', 'Robert De Niro', 'Renée Zellweger']",Vicky Jenson,"['fish', 'hero', 'mission of murder']","['Animation', 'Action', 'Comedy']"
526,Dreamgirls,"['Jamie Foxx', 'Beyoncé Knowles', 'Eddie Murphy']",Bill Condon,"['music record', 'manager', 'black people']",['Drama']
527,Be Cool,"['John Travolta', 'Uma Thurman', 'Vince Vaughn']",F. Gary Gray,"['baseball bat', 'widow', 'recording contract']","['Comedy', 'Crime']"
528,Munich,"['Eric Bana', 'Daniel Craig', 'Ciarán Hinds']",Steven Spielberg,"['paris', 'assassination', 'israel']","['Drama', 'Action', 'History']"
529,Tears of the Sun,"['Bruce Willis', 'Monica Bellucci', 'Cole Hauser']",Antoine Fuqua,"['u.s. army', 'nigeria', 'president']","['Action', 'Drama', 'War']"
530,Killers,"['Katherine Heigl', 'Ashton Kutcher', 'Tom Selleck']",Robert Luketic,['assassin'],"['Action', 'Comedy', 'Thriller']"
531,The Man from U.N.C.L.E.,"['Henry Cavill', 'Armie Hammer', 'Alicia Vikander']",Guy Ritchie,"['spy', 'cold war', 'remake']","['Comedy', 'Action', 'Adventure']"
532,Spanglish,"['Adam Sandler', 'Téa Leoni', 'Paz Vega']",James L. Brooks,"['upper class', 'mother', 'single parent']",['Comedy']
533,Monster House,"['Ryan Newman', 'Steve Buscemi', 'Mitchel Musso']",Gil Kenan,"['monster', 'secret', 'toy']","['Animation', 'Comedy', 'Family']"
534,Bandits,"['Bruce Willis', 'Billy Bob Thornton', 'Cate Blanchett']",Barry Levinson,['prison'],"['Action', 'Comedy', 'Crime']"
535,First Knight,"['Sean Connery', 'Richard Gere', 'Julia Ormond']",Jerry Zucker,"['camelot', 'knight', 'king arthur']","['Action', 'Adventure', 'Drama']"
536,Anna and the King,"['Jodie Foster', 'Chow Yun-fat', 'Bai Ling']",Andy Tennant,"['civil war', 'father son relationship', 'east india trading company']","['Drama', 'History', 'Romance']"
537,Immortals,"['Mickey Rourke', 'Kellan Lutz', 'Isabel Lucas']",Tarsem Singh,"['poison', 'army', 'zeus']","['Fantasy', 'Action', 'Drama']"
538,Hostage,"['Bruce Willis', 'Kevin Pollak', 'Jimmy Bennett']",Florent-Emilio Siri,"['fbi', 'kidnapping', 'police operation']","['Mystery', 'Drama', 'Thriller']"
539,Titan A.E.,"['Matt Damon', 'Bill Pullman', 'Drew Barrymore']",Gary Goldman,"['monster', 'galaxy', 'dystopia']","['Animation', 'Action', 'Science Fiction']"
540,Hollywood Homicide,"['Harrison Ford', 'Josh Hartnett', 'Lena Olin']",Ron Shelton,"['rap music', 'hitman']","['Action', 'Adventure', 'Comedy']"
541,Soldier,"['Kurt Russell', 'Jason Scott Lee', 'Jason Isaacs']",Paul W.S. Anderson,"['space marine', 'dystopia', 'alien planet']","['Action', 'War', 'Science Fiction']"
542,Carriers,"['Lou Taylor Pucci', 'Chris Pine', 'Piper Perabo']",Àlex Pastor,"['beach', 'desperation', 'infection']","['Action', 'Drama', 'Horror']"
543,Monkeybone,"['Brendan Fraser', 'Bridget Fonda', 'John Turturro']",Henry Selick,"['parallel world', 'organ donation', 'horniness agent']","['Adventure', 'Fantasy', 'Animation']"
544,Flight of the Phoenix,"['Dennis Quaid', 'Tyrese Gibson', 'Giovanni Ribisi']",John Moore,"['robbery', 'water', 'gobi desert']","['Action', 'Adventure', 'Drama']"
545,Unbreakable,"['Bruce Willis', 'Samuel L. Jackson', 'Robin Wright']",M. Night Shyamalan,"['father son relationship', 'train accident', 'comic book']","['Science Fiction', 'Thriller', 'Drama']"
546,Minions,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']",Kyle Balda,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger']","['Family', 'Animation', 'Adventure']"
547,Sucker Punch,"['Emily Browning', 'Abbie Cornish', 'Jena Malone']",Zack Snyder,"['brothel', 'fantasy', 'asylum']","['Action', 'Fantasy', 'Thriller']"
548,Snake Eyes,"['Nicolas Cage', 'Gary Sinise', 'John Heard']",Brian De Palma,"['casino', 'political activism', 'boxer']","['Crime', 'Mystery']"
549,Sphere,"['Dustin Hoffman', 'Sharon Stone', 'Samuel L. Jackson']",Barry Levinson,"['ocean', 'extraterrestrial technology', 'space marine']",['Science Fiction']
550,The Angry Birds Movie,"['Jason Sudeikis', 'Josh Gad', 'Danny McBride']",Fergal Reilly,"['island', 'bird', 'pig']","['Family', 'Animation']"
551,Fool's Gold,"['Matthew McConaughey', 'Kate Hudson', 'Donald Sutherland']",Andy Tennant,"['helicopter', 'cemetery', 'boat']","['Romance', 'Comedy', 'Adventure']"
552,Funny People,"['Adam Sandler', 'Seth Rogen', 'Leslie Mann']",Judd Apatow,"['comedian', 'cancer', 'bromance']","['Comedy', 'Drama']"
553,The Kingdom,"['Jamie Foxx', 'Jennifer Garner', 'Chris Cooper']",Peter Berg,"['assassination', 'assassin', 'terrorist']","['Thriller', 'Action', 'Drama']"
554,Talladega Nights: The Ballad of Ricky Bobby,"['Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen']",Adam McKay,"['north carolina', 'prayer', 'family dinner']",['Comedy']
555,Dr. Dolittle 2,"['Eddie Murphy', 'Kristen Wilson', 'Raven-Symoné']",Steve Carr,"['veterinarian', 'forest', 'bear']","['Comedy', 'Family', 'Romance']"
556,Braveheart,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']",Mel Gibson,"['individual', 'scotland', 'in love with enemy']","['Action', 'Drama', 'History']"
557,Jarhead,"['Jamie Foxx', 'Jake Gyllenhaal', 'Scott MacDonald']",Sam Mendes,"['sniper', 'marine corps', 'saudi arabia']","['Drama', 'War']"
558,The Simpsons Movie,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']",David Silverman,"['father son relationship', 'lake', 'springfield']","['Animation', 'Comedy', 'Family']"
559,The Majestic,"['Jim Carrey', 'Martin Landau', 'Laurie Holden']",Frank Darabont,"['california', 'falsely accused', 'prosecution']","['Drama', 'Romance']"
560,Driven,"['Kip Pardue', 'Robert Sean Leonard', 'Til Schweiger']",Renny Harlin,"['competition', 'running', 'career']",['Action']
561,Two Brothers,"['Maï Anh Le', 'Guy Pearce', 'Oanh Nguyen']",Jean-Jacques Annaud,"['brother brother relationship', 'loss of brother', 'cambodia']","['Adventure', 'Drama', 'Family']"
562,The Village,"['Bryce Dallas Howard', 'Joaquin Phoenix', 'Adrien Brody']",M. Night Shyamalan,"['secret', 'forest', 'rural setting']","['Drama', 'Mystery', 'Thriller']"
563,Doctor Dolittle,"['Eddie Murphy', 'Ossie Davis', 'Oliver Platt']",Betty Thomas,"['talking to animals', 'woman director']","['Comedy', 'Family', 'Fantasy']"
564,Signs,"['Mel Gibson', 'Joaquin Phoenix', 'Rory Culkin']",M. Night Shyamalan,"['symbolism', 'water', 'farm']","['Drama', 'Thriller', 'Science Fiction']"
565,Shrek 2,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",Andrew Adamson,"['prison', 'magic', 'liberation']","['Adventure', 'Animation', 'Comedy']"
566,Cars,"['Owen Wilson', 'Paul Newman', 'Bonnie Hunt']",John Lasseter,"['car race', 'car journey', 'village and town']","['Animation', 'Adventure', 'Comedy']"
567,Runaway Bride,"['Julia Roberts', 'Richard Gere', 'Joan Cusack']",Garry Marshall,"['small town', 'self-discovery', 'just married']","['Comedy', 'Romance']"
568,xXx,"['Vin Diesel', 'Asia Argento', 'Samuel L. Jackson']",Rob Cohen,"['sports car', 'biological weapon', 'cold war']","['Action', 'Adventure', 'Thriller']"
569,The SpongeBob Movie: Sponge Out of Water,"['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass']",Paul Tibbitt,"['ocean', 'sea', 'star']","['Animation', 'Adventure', 'Comedy']"
570,Ransom,"['Mel Gibson', 'Gary Sinise', 'Delroy Lindo']",Ron Howard,"['bounty', 'loss of child', 'yellow press']","['Action', 'Thriller']"
571,Inglourious Basterds,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz']",Quentin Tarantino,"['paris', 'guerrilla', 'cinema']","['Drama', 'Action', 'Thriller']"
572,Hook,"['Robin Williams', 'Dustin Hoffman', 'Julia Roberts']",Steven Spielberg,"['flying', 'swordplay', 'sword']","['Adventure', 'Fantasy', 'Comedy']"
573,Die Hard 2,"['Bruce Willis', 'Bonnie Bedelia', 'William Atherton']",Renny Harlin,"['ambush', 'helicopter', 'journalist']","['Action', 'Thriller']"
574,S.W.A.T.,"['Samuel L. Jackson', 'Colin Farrell', 'Michelle Rodriguez']",Clark Johnson,"['liberation', 'transport of prisoners', 'special unit']","['Action', 'Thriller', 'Crime']"
575,Vanilla Sky,"['Tom Cruise', 'Penélope Cruz', 'Cameron Diaz']",Cameron Crowe,"['amnesia', 'ex-girlfriend', 'virtual reality']","['Drama', 'Mystery', 'Romance']"
576,Lady in the Water,"['Paul Giamatti', 'Jeffrey Wright', 'Bob Balaban']",M. Night Shyamalan,"['fortune teller', 'religion and supernatural', 'supernatural powers']","['Drama', 'Thriller', 'Fantasy']"
577,AVP: Alien vs. Predator,"['Sanaa Lathan', 'Raoul Bova', 'Ewen Bremner']",Paul W.S. Anderson,"['saving the world', 'predator', 'laserpointer']","['Adventure', 'Science Fiction', 'Action']"
578,Alvin and the Chipmunks: The Squeakquel,"['Zachary Levi', 'David Cross', 'Jason Lee']",Betty Thomas,"['chipmunk', 'cgi', 'based on tv series']","['Comedy', 'Family', 'Animation']"
579,We Were Soldiers,"['Mel Gibson', 'Greg Kinnear', 'Madeleine Stowe']",Randall Wallace,"['vietnam veteran', 'missile', 'vietnam war']","['Action', 'History', 'War']"
580,Olympus Has Fallen,"['Gerard Butler', 'Aaron Eckhart', 'Angela Bassett']",Antoine Fuqua,"['white house', 'secret service', 'terrorist attack']","['Action', 'Thriller']"
581,Star Trek: Insurrection,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']",Jonathan Frakes,"['space opera', 'retribution', 'spacecraft officer']","['Science Fiction', 'Action', 'Adventure']"
582,Battle: Los Angeles,"['Aaron Eckhart', 'Ramón Rodríguez', 'Will Rothhaar']",Jonathan Liebesman,"['saving the world', 'hero', 'marine corps']","['Action', 'Science Fiction']"
583,Big Fish,"['Ewan McGregor', 'Albert Finney', 'Billy Crudup']",Tim Burton,"['circus', 'father son relationship', 'witch']","['Adventure', 'Fantasy', 'Drama']"
584,Wolf,"['Jack Nicholson', 'Christopher Plummer', 'James Spader']",Mike Nichols,"['adultery', 'heal', 'bite']",['Fantasy']
585,War Horse,"['Tom Hiddleston', 'Benedict Cumberbatch', 'Toby Kebbell']",Steven Spielberg,"['world war i', 'horse', 'farm life']","['Drama', 'War']"
586,The Monuments Men,"['Matt Damon', 'Cate Blanchett', 'George Clooney']",George Clooney,"['world war ii', 'nazis', 'art theft']","['War', 'Drama', 'History']"
587,The Abyss,"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn']",James Cameron,"['ocean', 'sea', 'diving suit']","['Adventure', 'Action', 'Thriller']"
588,Wall Street: Money Never Sleeps,"['Michael Douglas', 'Shia LaBeouf', 'Josh Brolin']",Oliver Stone,['duringcreditsstinger'],"['Drama', 'Crime']"
589,Dracula Untold,"['Luke Evans', 'Sarah Gadon', 'Dominic Cooper']",Gary Shore,"['vampire', 'dracula', 'bite']","['Horror', 'Action', 'Drama']"
590,The Siege,"['Denzel Washington', 'Annette Bening', 'Bruce Willis']",Edward Zwick,"['islam', 'muslim', 'car bomb']","['Drama', 'Action', 'Thriller']"
591,Stardust,"['Claire Danes', 'Charlie Cox', 'Michelle Pfeiffer']",Matthew Vaughn,"['witch', 'based on novel', 'new love']","['Adventure', 'Fantasy', 'Romance']"
592,Seven Years in Tibet,"['Brad Pitt', 'Jamyang Jamtsho Wangchuk', 'David Thewlis']",Jean-Jacques Annaud,"['buddhism', 'himalaya', 'austria']","['Adventure', 'Drama', 'History']"
593,The Dilemma,"['Kevin James', 'Vince Vaughn', 'Winona Ryder']",Ron Howard,"['adultery', 'infidelity', 'secret']","['Comedy', 'Drama']"
594,Bad Company,"['Anthony Hopkins', 'Chris Rock', 'Peter Stormare']",Joel Schumacher,"['ambush', 'cia', 'assassin']","['Action', 'Adventure', 'Comedy']"
595,Doom,"['Dwayne Johnson', 'Karl Urban', 'Rosamund Pike']",Andrzej Bartkowiak,"['teleportation', 'based on video game', 'severed ear']","['Adventure', 'Action', 'Horror']"
596,I Spy,"['Eddie Murphy', 'Owen Wilson', 'Famke Janssen']",Betty Thomas,"['budapest', 'kidnapping', 'boxer']","['Action', 'Adventure', 'Comedy']"
597,Underworld: Awakening,"['Kate Beckinsale', 'Stephen Rea', 'Michael Ealy']",Måns Mårlind,"['vampire', 'daughter', 'hybrid']","['Fantasy', 'Action', 'Horror']"
598,Rock of Ages,"['Julianne Hough', 'Diego Boneta', 'Tom Cruise']",Adam Shankman,"['musical', 'rocker', 'teenager']","['Comedy', 'Drama', 'Music']"
599,Hart's War,"['Bruce Willis', 'Colin Farrell', 'Terrence Howard']",Gregory Hoblit,"['black people', 'world war ii', 'prisoners of war']","['Drama', 'War']"
600,Killer Elite,"['Jason Statham', 'Clive Owen', 'Robert De Niro']",Gary McKendry,['rescue'],"['Action', 'Adventure', 'Thriller']"
601,Rollerball,"['Chris Klein', 'LL Cool J', 'Rebecca Romijn']",John McTiernan,"['manager', 'arena', 'dystopia']","['Action', 'Science Fiction', 'Thriller']"
602,Ballistic: Ecks vs. Sever,"['Antonio Banderas', 'Lucy Liu', 'Gregg Henry']",Wych Kaosayananda,"['loss of family', 'enemy', 'adversary']","['Action', 'Adventure', 'Thriller']"
603,Hard Rain,"['Morgan Freeman', 'Christian Slater', 'Randy Quaid']",Mikael Salomon,"['sheriff', 'rain', 'evacuation']",['Thriller']
604,Osmosis Jones,"['Chris Rock', 'Laurence Fishburne', 'David Hyde Pierce']",Bobby Farrelly,"['cold', 'flu', 'lethal virus']","['Adventure', 'Animation', 'Action']"
605,Legends of Oz: Dorothy's Return,"['Lea Michele', 'Dan Aykroyd', 'Patrick Stewart']",Dan St. Pierre,[],"['Animation', 'Music', 'Family']"
606,Blackhat,"['Chris Hemsworth', 'Leehom Wang', 'Tang Wei']",Michael Mann,"['terrorist', 'technology', 'anti hero']","['Crime', 'Drama', 'Mystery']"
607,Sky Captain and the World of Tomorrow,"['Jude Law', 'Gwyneth Paltrow', 'Giovanni Ribisi']",Kerry Conran,"['london england', 'himalaya', 'journalist']","['Mystery', 'Action', 'Thriller']"
608,Basic Instinct 2,"['Sharon Stone', 'David Morrissey', 'Charlotte Rampling']",Michael Caton-Jones,"['male nudity', 'sex', 'legs']","['Crime', 'Mystery', 'Thriller']"
609,Escape Plan,"['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jim Caviezel']",Mikael Håfström,"['prison', 'muslim', 'ship']","['Action', 'Thriller']"
610,The Legend of Hercules,"['Kellan Lutz', 'Liam McIntyre', 'Gaia Weiss']",Renny Harlin,"['mythology', 'zeus', 'ancient greece']","['Action', 'Adventure']"
